rest_type,cuisines
Casual Dining,"North Indian, Mughlai, Chinese"
Casual Dining,"Chinese, North Indian, Thai"
"Cafe, Casual Dining","Cafe, Mexican, Italian"
Quick Bites,"South Indian, North Indian"
Casual Dining,"North Indian, Rajasthani"
Casual Dining,North Indian
Casual Dining,"North Indian, South Indian, Andhra, Chinese"
"Casual Dining, Cafe","Pizza, Cafe, Italian"
Cafe,"Cafe, Italian, Continental"
 ('Rated 1.0', we had nachos cheese salsa which was okay. We ordered some garlic bread with cheese. A complete disappointment as it just had some processed cheese and the bread was dipped in ghee.\nWe ordered some chicken Alfredo hoping it would be better but to our disappointment
Cafe,"Cafe, Mexican, Italian, Momos, Beverages"
Cafe,Cafe
Cafe,"Cafe, Italian, Continental"
Cafe,"Cafe, Chinese, Continental, Italian"
Cafe,"Cafe, Continental"
"Cafe, Casual Dining","Cafe, Mexican, Italian"
Cafe,Cafe
Cafe,"Cafe, Fast Food, Continental, Chinese, Momos"
Cafe,"Chinese, Cafe, Italian"
Cafe,"Cafe, Italian, American"
Cafe,"Cafe, Chinese, Continental, Italian"
Cafe,"Cafe, French, North Indian"
Cafe,"Cafe, Pizza, Fast Food, Beverages"
Cafe,"Cafe, Fast Food"
"Quick Bites, Cafe","Italian, Fast Food, Cafe, European"
Cafe,Cafe
Cafe,"Cafe, Bakery"
"Cafe, Quick Bites","Cafe, South Indian"
Cafe,"Cafe, Fast Food, Beverages"
Cafe,"Cafe, Fast Food"
"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food"
Cafe,"Cafe, Italian"
Quick Bites,"North Indian, Fast Food, Chinese, Burger"
 ('Rated 4.0', ('Rated 3.0'
Delivery,"Bakery, Desserts"
Delivery,Pizza
Quick Bites,"North Indian, Biryani, Fast Food"
 and 2 chapattis. Each and every bite was a bliss. Truly enjoyed this meal! \U0001f929'), 'RATED\n  Faasos is a perfect place to order some lip smacking fast food.\nI ordered Paneer steak 
Delivery,Biryani
Quick Bites,"North Indian, Chinese, Fast Food"
Casual Dining,"Chinese, Thai, Momos"
Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
" although I wanted to have the buffet but wasn't able to because I was 10 minutes late."""")"," """"RATED\n  Okay this review is mainly about the shaadi ka biryani (mutton). Lived the taste. We had taken a home delivery of this through zomatogold. No complaints on the service and delivery.\n\nOther than that"
Quick Bites,South Indian
Quick Bites,"Street Food, Fast Food"
Mess,South Indian
Quick Bites,"Burger, Fast Food"
Quick Bites,"Pizza, Fast Food"
"Casual Dining, Cafe","Pizza, Cafe, Italian"
 ('Rated 5.0', herbed wedges\n\n#rajeshwrites')
Delivery,"North Indian, Continental, Italian"
Quick Bites,"North Indian, Chinese"
Casual Dining,"North Indian, Chinese, Biryani, Rolls"
Casual Dining,"Chinese, Thai"
Quick Bites,"North Indian, Chinese, Momos, Rolls"
Quick Bites,North Indian
Quick Bites,"Fast Food, Street Food, Beverages"
Dessert Parlor,"Ice Cream, Desserts"
Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian"
Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos"
Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
Quick Bites,"Biryani, Fast Food"
Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos"
 house wine, ('Rated 5.0'
